Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,7,110,7,Some Random Commen with Id 0
1,1,7,0,1,Some Random Commen with Id 1
2,1,7,36,7,Some Random Commen with Id 2
3,1,7,25,7,Some Random Commen with Id 3
4,1,7,32,6,Some Random Commen with Id 4
5,1,7,136,3,Some Random Commen with Id 5
6,2,5,109,3,Some Random Commen with Id 6
7,2,5,122,0,Some Random Commen with Id 7
8,2,5,61,3,Some Random Commen with Id 8
9,2,5,45,2,Some Random Commen with Id 9
10,3,0,51,2,Some Random Commen with Id 10
11,3,0,79,9,Some Random Commen with Id 11
12,4,5,164,9,Some Random Commen with Id 12
13,5,1,169,1,Some Random Commen with Id 13
14,5,1,87,9,Some Random Commen with Id 14
15,5,1,138,0,Some Random Commen with Id 15
16,5,1,103,4,Some Random Commen with Id 16
17,5,1,103,3,Some Random Commen with Id 17
18,5,1,22,7,Some Random Commen with Id 18
19,5,1,65,5,Some Random Commen with Id 19
20,5,1,184,1,Some Random Commen with Id 20
21,6,6,31,0,Some Random Commen with Id 21
22,7,2,137,8,Some Random Commen with Id 22
23,8,9,8,8,Some Random Commen with Id 23
24,8,9,39,8,Some Random Commen with Id 24
25,8,9,178,7,Some Random Commen with Id 25
26,10,5,162,7,Some Random Commen with Id 26
27,10,5,165,0,Some Random Commen with Id 27
28,10,5,129,3,Some Random Commen with Id 28
29,10,5,149,4,Some Random Commen with Id 29
30,10,5,5,9,Some Random Commen with Id 30
31,10,5,173,8,Some Random Commen with Id 31
32,10,5,19,6,Some Random Commen with Id 32
33,11,4,56,3,Some Random Commen with Id 33
34,11,4,168,7,Some Random Commen with Id 34
35,12,6,188,7,Some Random Commen with Id 35
36,12,6,83,2,Some Random Commen with Id 36
37,12,6,61,5,Some Random Commen with Id 37
38,12,6,124,5,Some Random Commen with Id 38
39,12,6,77,8,Some Random Commen with Id 39
40,13,7,198,1,Some Random Commen with Id 40
41,13,7,57,0,Some Random Commen with Id 41
42,13,7,112,7,Some Random Commen with Id 42
43,13,7,163,6,Some Random Commen with Id 43
44,13,7,87,2,Some Random Commen with Id 44
45,13,7,0,8,Some Random Commen with Id 45
46,13,7,121,5,Some Random Commen with Id 46
47,13,7,147,5,Some Random Commen with Id 47
48,13,7,140,4,Some Random Commen with Id 48
49,14,7,62,1,Some Random Commen with Id 49
50,14,7,92,4,Some Random Commen with Id 50
51,14,7,191,9,Some Random Commen with Id 51
52,14,7,94,1,Some Random Commen with Id 52
53,16,8,71,4,Some Random Commen with Id 53
54,16,8,108,4,Some Random Commen with Id 54
55,16,8,50,0,Some Random Commen with Id 55
56,16,8,64,1,Some Random Commen with Id 56
57,17,5,127,8,Some Random Commen with Id 57
58,17,5,176,9,Some Random Commen with Id 58
59,19,2,154,3,Some Random Commen with Id 59
60,19,2,81,7,Some Random Commen with Id 60
61,19,2,38,8,Some Random Commen with Id 61
62,19,2,138,6,Some Random Commen with Id 62
63,20,5,174,6,Some Random Commen with Id 63
64,20,5,82,2,Some Random Commen with Id 64
65,20,5,178,1,Some Random Commen with Id 65
66,22,8,24,5,Some Random Commen with Id 66
67,22,8,22,9,Some Random Commen with Id 67
68,23,0,92,3,Some Random Commen with Id 68
69,23,0,190,8,Some Random Commen with Id 69
70,23,0,12,4,Some Random Commen with Id 70
71,23,0,59,5,Some Random Commen with Id 71
72,23,0,114,9,Some Random Commen with Id 72
73,23,0,53,9,Some Random Commen with Id 73
74,23,0,59,8,Some Random Commen with Id 74
75,23,0,45,9,Some Random Commen with Id 75
76,23,0,26,8,Some Random Commen with Id 76
77,25,2,151,9,Some Random Commen with Id 77
78,25,2,85,7,Some Random Commen with Id 78
79,25,2,150,1,Some Random Commen with Id 79
80,25,2,52,4,Some Random Commen with Id 80
81,25,2,120,5,Some Random Commen with Id 81
82,25,2,9,4,Some Random Commen with Id 82
83,25,2,45,4,Some Random Commen with Id 83
84,26,9,41,0,Some Random Commen with Id 84
85,27,9,100,4,Some Random Commen with Id 85
86,27,9,94,8,Some Random Commen with Id 86
87,27,9,194,5,Some Random Commen with Id 87
88,27,9,160,4,Some Random Commen with Id 88
89,27,9,49,0,Some Random Commen with Id 89
90,27,9,34,5,Some Random Commen with Id 90
91,27,9,96,8,Some Random Commen with Id 91
92,27,9,158,1,Some Random Commen with Id 92
93,29,6,50,9,Some Random Commen with Id 93
94,29,6,170,3,Some Random Commen with Id 94
95,29,6,47,9,Some Random Commen with Id 95
96,29,6,176,0,Some Random Commen with Id 96
97,30,7,37,2,Some Random Commen with Id 97
98,31,5,55,3,Some Random Commen with Id 98
99,31,5,1,8,Some Random Commen with Id 99
100,31,5,125,9,Some Random Commen with Id 100
101,31,5,63,6,Some Random Commen with Id 101
102,31,5,158,6,Some Random Commen with Id 102
103,31,5,28,6,Some Random Commen with Id 103
104,32,2,120,4,Some Random Commen with Id 104
105,32,2,143,7,Some Random Commen with Id 105
106,32,2,167,4,Some Random Commen with Id 106
107,32,2,124,8,Some Random Commen with Id 107
108,33,6,89,7,Some Random Commen with Id 108
109,33,6,25,7,Some Random Commen with Id 109
110,33,6,6,2,Some Random Commen with Id 110
111,33,6,118,1,Some Random Commen with Id 111
112,33,6,50,2,Some Random Commen with Id 112
113,33,6,173,0,Some Random Commen with Id 113
114,34,4,39,9,Some Random Commen with Id 114
115,35,9,142,1,Some Random Commen with Id 115
116,35,9,66,6,Some Random Commen with Id 116
117,35,9,107,1,Some Random Commen with Id 117
118,35,9,5,0,Some Random Commen with Id 118
119,35,9,147,2,Some Random Commen with Id 119
120,35,9,34,6,Some Random Commen with Id 120
121,35,9,144,9,Some Random Commen with Id 121
122,36,3,43,4,Some Random Commen with Id 122
123,36,3,133,8,Some Random Commen with Id 123
124,36,3,167,7,Some Random Commen with Id 124
125,36,3,4,8,Some Random Commen with Id 125
126,36,3,74,7,Some Random Commen with Id 126
127,36,3,99,7,Some Random Commen with Id 127
128,36,3,37,1,Some Random Commen with Id 128
129,37,6,82,9,Some Random Commen with Id 129
130,37,6,21,0,Some Random Commen with Id 130
131,37,6,164,1,Some Random Commen with Id 131
132,38,5,194,8,Some Random Commen with Id 132
133,38,5,57,3,Some Random Commen with Id 133
134,38,5,166,2,Some Random Commen with Id 134
135,38,5,111,3,Some Random Commen with Id 135
136,39,6,70,7,Some Random Commen with Id 136
